1;Dando defeito ; Olá o celular está apresentando muitos problemas, teria como me da um retorno? pq ele tá ligando sozinho, entra na internet sozinho. Liga pra outra pessoa ao invés de ligar pro que eu aperto. 
5;THE BEST; Aparelho show de bola, qualidade excelente, totalmente funcional e original. 
1;muito bom!!!; Bom aparelho dei de presente para minha mae e ela adorou facil de utilizar ideal para idoso eu recomendo. 
1;Muito ruim; O produto está bom mais o carregador explodiu. 
1;Muito ruim; Dessa vez nao gostei do produto o caregador nao carega, e muito fragil. 
5;Excelente; Tudo ok. 
4;Eu colocaria mais recursos nele por ser smartphone; E um excelente produto dentro da meta de desenvolvimento tecnológico dele. 
2;decpcionado; O celular é apenas bonito muito lento parece uma tartaruga pra abrir um aplicativo navegar na internet tem que ter tempo, sem pressa. Não gostei. 
5;Excelente; Produto de qualidade!. 
5;Excelente; O produto eh excelente eu recomendo, é leve pratico di usar a motorola ta di parabéns. 
5;Excelente; Otimo bom produto muito bemsatisfeito. 
1;produto defeituoso; Produto com defeito. Não toca. Não enviou nota fiscal. 
5;Ótimo; Ótimo produto muito mesmo atende as espectativas. 
1;Muito bom amei; Otimo porduto valeu a pena obrigado. 
2;Ruim; Não é original! o áudio não funciona, nem o despertador além de várias outras coisas. 
5;Nota 10; Excelente produto, vale nota máxima 10. Bem elaborado supera todas expectativas merece ser top. 
2;Ruim; O celular corresponde ao valor pago, não da pra esperar mais. 
1;Muito ruim; Muito ruim, muito fraco, deixa muito a desejar, eu não recomendo. 
5;Eu indico podem comprar; Ótimo!! do jeito que eu queria tudo certo. 
2;nem um; Nao gostei comprei celular preto madaram branco totalmente insastifeito. 
1;Muito bom recomendo; Otimo perfeito estado adorei. 
1;muito fragil; Uma mrda usei uma semana e ja deu problena. 
5;Excelente; Ótimo aparelho, bom demais de sinal!. 
5;Excelente, ótimo custo benefício, recomendo!; Ótima estética, performance e preço, melhor do que qualquer modelo nesta faixa de preço de marcas tradicionais aqui no brasil. . Recomendo. 
1;Arrependido de ter comprado ; Muito lento trava toda hora péssimo. 
4;Produto de boa qualidade. Estamos satisfeitos. ; Produto lindo. Excelente qualidade. Adoramos. 
5;Excelente; Excelente super satisfeita. Obrigada. 
4;Bom.; Muito bom produto recomendo a todos q queiram comprar. 
4;Um bom aparelho celular; É um celular de baixo custo, mas que funciona muito bem. 
2;Acabamento ruim; Feito com materiais de baixa qualidade. Teclado não tem a tecla "\". 
5;Excelente; Muinto bom amei superou minhas espectativas. 
1;Defeito; Veio com defeito. 
1;Réplica a caixa veio violada e com defeito no apar; Produto replica,caixa veio violada. 
5;Otimo; Muito bom compre bem oq promete. 
5;Excelente; Mto bom. 
2;Custo benefício bom; Bom pó ser simples. 
1;Deu defeito e não me deram garantia; Infelizmente é uma pena estou muito insatisfeito com o produto,nem acabei de pagar e já apresentou defeito ,bem que me alertaram nos comentários sobre o produto e tudo que eu posso fazer é o mesmo, alertar outras pessoas para que assim como eu não compre para se arrepender depois. Um produto que se diz original não ter garantia de software é brincadeira. 
1;Muito ruim; Me prometeram me mandar a antena da tv digital e ate hoje nao me mandaram. 
5;Bom para o valor; É excelente. Leve funciona corretamente. 
