2;Com Defeito, As luzes dos botões não Acendem!!! ; O produto veio com defeito nos botões da frente, as luzes não acendem!. 
5;Excelente; Ótimo muito bom. 
5;Excelente; Sem dúvidas o melhor, recomendo. 
5;Está atendendo ao que se propôs e às necessidades; Meu filho tá gostando bastante dele. 
5;Good!; Ótimo produto. 
5;Excelente; Ótimo produto, recomendo. Excelente vendendor. 
5;Excelente; Ótimo produto o q nós esperamos ótima qualidade. 
5;Ótimo aparelho, superou as expectativas.; Ótimo aparelho. Conforme o anunciado. Foi presente para o meu filho e ele adorou. 
5;Ótimo produto; Produto excelente, funciona super bem, prático e fácil de instalar. 
5;Nao tenho o q opinar como não tenho o q reclamar; Ótimo mercadoria foi o que eu esperava. 
5;Excelente; Super satisfeito com o produto e recomendo a todos que como eu precisa de sinal em uma zona rural. 
4;Muito bom; Produto bom. 
5;Otimo; Bom, após semana de uso não há indícios de travamento. 
5;excelente!; Excelente produto, funciona muito bem!. 
5;Celular ; Excelente, bateria excelente, aparelho fortíssimo. 
5;Telefone Celular Rural Mesa Fácil Tec 2 Chips ; Ate o momento ta funcionando perfeito muito bom de sinal. 
5;Excelente; Adorei. Muito bom!. 
5;Bom; Bom só o posso opinar. 
5;Excelente; Muito bom o celular atendeu minhas expectativas que era so para ligação mesmo muito satisfeito!!. 
5;Excelente; Melheor custo benefício. 
5;Excelente; Ótimo produto. 
4;Bom só a bateria q ficou devendo ; Ate q e bom mas a bateria é mt ruizinha. 
5;otimo ; Produto perfeito sem nenhum problema !!!!. 
5;Otimo; Otimo. 
5;Otimo; Excelente celular superou todas as minhas expectativas. Pra quem trabalha diariamente com celular eu super recomendo. 
5;Excelente; Muito bom. 
5;Muito bom mesmo ; Ótimo produto recomendo para todos. 
5;Excelente; Otimo produto. 
5;Excelente; Muito bom superou minhas expectativas. 
5;Excelente; Ótimo o celular. 
5;produto de excelente qualidade; Produto de excelente qualidade! com 32 g de memoria 3 de ram!. 
4;Muito bom; Muito bom. Recomendo para quem quer um telefone compacta e descomplicado. 
5;Excelente; Produto de excelente qualidade!. 
5;Excelente; Produto excelente. Recomendo a todos. 
5;Excelente; Tudo o que estava esperando, qualidade indiscutível. 
5;top; Muito bom recomendo este saite p as compra vou voltar a comprar comdo eu presico. 
5;Excelente; Atendeu a minha necessidade. 
5;E simplesmente maravilhoso.; Bom dia não tenho o que reclamar muito bom espaço suficiente para o que eu quero,a tela e muito boa, não trava e perfeito. 
5;Excelente custo benefício, estou satisfeita. ; Excelente custo beneficio. Valeu a pena comprá lo. 
5;Excelente; Excelente aparelho, mas não possui nota fiscal. 
2;Ruim; Celular veio com o lacre rompido carregador fora do padrão das tomadas brasileiras. 
5;Aparelho excepcional; Aparelho surpreendente pelo preço, perfeito custo x benefício. 
5;Muito satisfeito; Excelente sem comentários. 
1;Muito ruim; Veio sem a nota fiscal,e sem garantia. 
5;O celular foi mais do que eu esperava ótimo ; O celular e ótimo de boa qualidade maravilha. 
5;0TIMO; Ok tudo certinho --------------------. 
5;Cumpre o que promete; Muito bom. 
4;Ótimo celular!; Um celular muito pelo preço,mas queria que tivesse o giroscópio,então tirando isso,perfeito!. 
1;Muito ruim; Não gostei,não consegui criar a conta no google sequer para baixar aplicativos. 
1;Muito ruim; Muito lerdo trava toda hora. 
5;Excelente; Ótimo produto. Para quem mora longe da cidade é uma ótima dica. 
2;barato mas .....; O meu veio com defeito na tela , fica piscando toda hr , as vezes a tela fica escura e se colocar uma imagem branca na tela é possivel ver uma marca no fundo parecendo que escorreu algum liquido por dentro da tela , só não pedi a troca pq eu estava precisando do aparelho com urgencia e dava pra usar com esse prolema. 
1;Muito ruim; Celular não está segurando carga e não tenho retorno algum. 
5;Produto muito bom.; Produto muito bom pelo valor, a unica coisa que reparei é que ele esquenta um pouco. 
1;legal; Nao gostei. 
5;MUITO BOM QUANDO O PRODUTO É O QUE VC ESPERA; É exatamente o que é anunciado estou feliz. 
2;caixa do produto abertos e faltando os fones; As caixas vieram abertas ir sem os fones de ouvidos, do celular. 
5;Maravilhoso; Produto excelente,adorei minha compra. 
5;Otimo; Muito bom top recomendo, realmente me surpreendeu. 
1;Falsificado! ; O celular até pode ser original,não tenho certeza nem se é original, agora a caixa e uma réplica, carregador e cabo são falsificados de camelô, aqueles piores mesmo. Não recomendo. 
1;Falsificado ; Vei faltando manual nota fiscal , nao tem volume , na verdade e uma replica , estava dizendo ser original e nao e !!. 
1;celular errado; Não veio o celular s5 veio a5,. O a5 trava muito além de ser replica,. Fiz a devolução, to no aguardo de outro aparelho. Por isso não sei informa se o s5 e bom ou ruim. 
1;Muito ruim; Nao gostei muito ruim. 
2;Ruim; Muito bom , mais onde coloca o chip muito complicado de se abrir pode melhorar. 
2;problemas ; Boa tarde comprei um celular lenono vibe c2 dual chip com vocês e ontem ele estava descarregando e apagou todo , coloquei para carregar e ele não acendeu ficou bastante tempo e não ligou ele está esquentando mas não liga. O que devo fazer ?. 
2;mais ou menos; Bom mais demorou muito pra chegar. 
4;Muito bom; Aparelho perfeito porém não vem nota fiscal. Fone de ouvido tabajara carregador não serve nas tomadas de padrão novo. Tirando isso. Toop de linha o aparelho. 
1;Maravilhoso; Ótimo aparelho, atende todas minhas necessidades. 
1;muito bom ; Muito bom de qualidade original. 
5;Achei uma maravilha ; Bom produto estou gostando excelente de boa qualidade. 
1;Desapontado; Dois primeiros dias funcionou normal, porem ele vive reiniciando, segundo um tecnico ele esta com defeito no software. 
5;Excelente; Bom! perfeito estado , tudo que eu esperava. 
5;Excelente custo benefício!; O smartphone é fera. Tenho a aproximadamente um mês, a bateria dura bastante. Ótimo custo benefício. 
5;MUITO bom mesmo; Excelente muito bom recomendo a todos. 
2;Muito ruim péssimo; O produto que eu comprei não vale nada ninguém consegue ouvir seus toques de chamadas eu comprei dois celulares dinheiro jogado fora. 
4;Bom produto. Só o viva voz é baixo ; Gostei, funciona bem. Só o viva voz é baixo. 
1;não me atendeu aos requisitos. ; Aparelho veio com problema fica reiniciando constate,. 
1;Uma merda; Parou de funcionar com dois dias. 
1;ruim; Meu produto parou de fucionar i quero meu dinheiro de volta. 
1;Usssadooo! ; Muito ruim. Veio usado. Toda arranhado. Com defeito. Devolvi. 
5;Excelente; Ótimo gostei tudo!. 
5;Top de linha; Produto top de linha!! superou minhas expectativas!!. 
1;ruim; Não pega vivo no rs. . Muito ruim e frágil!. 
5;Excelente; Muito bom aparelho !!!!. 
5;Ótimo produto ; Estou muito satisfeito com o produto eh muito bom. 
1;Deu defeito e não me deram garantia; Infelizmente é uma pena estou muito insatisfeito com o produto,nem acabei de pagar e já apresentou defeito ,bem que me alertaram nos comentários sobre o produto e tudo que eu posso fazer é o mesmo, alertar outras pessoas para que assim como eu não compre para se arrepender depois. Um produto que se diz original não ter garantia de software é brincadeira. 
1;Excelente vendedor ; Muito ótimo era o que eu mas esperava. 
5;Recomendo; Bom e produto original top de linha. 
1;Ruim; Memoria ruim trava,toda hora. Precisa melhorar. 
2;Ruim; Ótimo. 
5;CxB excelente, pecando apenas na câmera; Produto atendeu minhas expectativas, muito boa construção, bem com as demais especificações, melhor cxb que os concorrentes. Único ponto negativo é câmera, que de fato não é boa, sendo ok de dia, e ruim a noite. 
1;Uma merda; Uma merda ,trava muito e fica reiniciando toda hora e eu não sei si e um pobrema,. 
5;Excelente; Essa versão moto e 4 plus importada vem até nfc, funciona perfeitamente com o app ponto certo do bilhete único. Comprei um produto de excelente qualidade. 
5;Excelente; Ótimo produto simples e q funciona pra quem busca celular só pra trabalho!!!. 
5;Excelente; Gostei muito. É muito útil para mim pois a bateria dura muito. Da hora. 
1;O PRODUTO NÃO FUNCIONA COMO MODEM , SOMENTE COMO T; O produto só funciona como telefone celular , não consegui fazer funcionar como modem , inclusive quando voce compra , não informa que precisa adquirir um cabo de acessório para tentar fazer funcionar como modem. Perdi muito tempo tentando fazer funcionar , e no final não funcionou. Não estou conseguindo devolver o produto que não funciona para o fim que comprei , não aconselho a compra para uso como modem. 
5;Celular Land Rover, o quebra galho de todos.; É um excelente celular,vocês nem imaginam o quanto ele é útil, recarrega as baterias dos famosos celulares da mídia, tem um ótimo rádio, muito fácil de manejar, excelente memória, em fim além de bonito é robusto, resistente a queda, gostei muito da compra que fiz, e recomendo a todos que prefere um bom telefone, e não se importa com muito luxo. 
1;Péssimo produto. Usei uma semana e joguei fora. ; Péssima qualidade. A bateria apesar de informar 15. 000mah, não consegue carregar nem uma carga completa de smartphone. Definitivamente, não recomendo à comunidade do ml. 
5;Bom produto; Bom produto. Pega bem no sítio e tem garantia de um ano. 
1;Péssimo; Não fiquei satisfeita,o aparelho trava muito. Só instalei 3app do playstore. Não gostei. 
5;Excelente; Tudo certo produto muito bom. 
1;Muito ruim; Uma porcaria já ate quebrei já com raiva dou zero estrelas e não sei si volto a compra de novo,. 
4;Muito bom; Gostei muito. Bom material. Pena que só tem tres toques. 
4;Muito bom; Achei o celular muito bom em tudo, o que não gostei é que se eu usar dois chips eu não posso usar um cartão de memoria e se eu usar o chip + cartão eu não posso usar o segundo chip. 
4;Muito bom; Bom e bonito. 
4;Muito bom; Bom gostei recomendo os meus amigos. Acompra. 
1;RUIM; Vagaba vagaba vagaba memoria curta o whtssap dá pane se falar muito. 
1;Muito ruim; Tava falando que era dual chip. E a capa era dupla e a pelicula de vidro. Nao gostei. Propaganda engonoça. 
1;Não vale a pena comprar.; Não tem as letras e números grandes como esperava. Péssimo em matéria de recursos de configuração e ainda tem de aguentar aquela musiquinha ridícula quando o celular é aberto ou fechado. 
1;Nao fiquei satisfeito trava muito; Regular. 
5;Celular bom ; Celular bom recomendo pode comprar. 
1;Iinsatisfeito ; Insatisfeito produto com marcas de usado. 
5;Excelente; Escelente produto mim surpreendeu super recomendo muito bom. 
1;o celular nao sei que falar, tive problema e 7 dia; Pessimo, 7 dias de uso , celular deu pau,. 
